iso_a3,country,month,max_risk,mean_risk,total_risk,top3_mean,high_species_count,moderate_species_count,base_origin_risk,multi_species_boost,origin_country_risk_month
GHA,Ghana,10,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,11,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,12,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GRC,Greece,1,0.0005306,0.0001143611111111,0.00102925,0.0003312666666666,0,0,0.0004508666666666,1.0,0.0004508666666666
GRC,Greece,2,0.0021224,0.0004574444444444,0.004117,0.0013250666666666,0,0,0.0018034666666666,1.0,0.0018034666666666
GRC,Greece,3,0.0021224,0.0004574444444444,0.004117,0.0013250666666666,0,0,0.0018034666666666,1.0,0.0018034666666666
GRC,Greece,4,0.0021224,0.0004574444444444,0.004117,0.0013250666666666,0,0,0.0018034666666666,1.0,0.0018034666666666
GRC,Greece,5,0.005306,0.0011436111111111,0.0102925,0.0033126666666666,0,0,0.0045086666666666,1.0,0.0045086666666666
GRC,Greece,6,0.010612,0.0022872222222222,0.020585,0.0066253333333333,0,0,0.0090173333333333,1.0,0.0090173333333333
GRC,Greece,7,0.010612,0.0022872222222222,0.020585,0.0066253333333333,0,0,0.0090173333333333,1.0,0.0090173333333333
GRC,Greece,8,0.010612,0.0022872222222222,0.020585,0.0066253333333333,0,0,0.0090173333333333,1.0,0.0090173333333333
GRC,Greece,9,0.010612,0.0022872222222222,0.020585,0.0066253333333333,0,0,0.0090173333333333,1.0,0.0090173333333333
GRC,Greece,10,0.005306,0.0011436111111111,0.0102925,0.0033126666666666,0,0,0.0045086666666666,1.0,0.0045086666666666
GRC,Greece,11,0.0021224,0.0004574444444444,0.004117,0.0013250666666666,0,0,0.0018034666666666,1.0,0.0018034666666666
GRC,Greece,12,0.0021224,0.0004574444444444,0.004117,0.0013250666666666,0,0,0.0018034666666666,1.0,0.0018034666666666
GIN,Guinea,1,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,2,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,3,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,4,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,5,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,6,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,7,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,8,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,9,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,10,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,11,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GIN,Guinea,12,0.1112,0.0171736249999999,0.1373889999999999,0.0427329999999999,0,0,0.0838131999999999,1.0,0.0838131999999999
GNB,Guinea-Bissau,1,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
