country,common_name,scientific_name,som_index,som_index_clean
France,Melon Fruit Fly,Bactrocera cucurbitae,0.004983,0.004983
France,Mexican Fruit Fly,Anastrepha ludens,6.91e-12,0.0
France,Oriental Fruit Fly,Bactrocera dorsalis,0.000194,0.000194
France,Peach Fruit Fly,Bactrocera zonata,0.009318,0.009318
France,Queensland Fruit Fly,Bactrocera tryoni,1.47e-08,0.0
France,Sapote Fruit Fly,Anastrepha serpentina,7.33e-12,0.0
France,Zeugodacus Tau,Bactrocera tau,2.96e-05,0.0
Gambia,Caribbean Fruit Fly,Anastrepha suspensa,0.000203,0.000203
Gambia,Guava Fruit Fly,Bactrocera correcta,0.056477,0.056477
Gambia,Mediterranean Fruit Fly,Ceratitis capitata,0.63652,0.63652
Gambia,Mexican Fruit Fly,Anastrepha ludens,3.98e-05,0.0
Gambia,Oriental Fruit Fly,Bactrocera dorsalis,0.059518,0.059518
Gambia,Peach Fruit Fly,Bactrocera zonata,0.16968,0.16968
Gambia,Queensland Fruit Fly,Bactrocera tryoni,0.000193,0.000193
Gambia,Sapote Fruit Fly,Anastrepha serpentina,8.82e-05,0.0
Gambia,Zeugodacus Tau,Bactrocera tau,0.021347,0.021347
Georgia(Republic of),Caribbean Fruit Fly,Anastrepha suspensa,0.009485,0.009485
Georgia(Republic of),Guava Fruit Fly,Bactrocera correcta,8.04e-11,0.0
Georgia(Republic of),Mediterranean Fruit Fly,Ceratitis capitata,0.001339,0.001339
Georgia(Republic of),Melon Fruit Fly,Bactrocera cucurbitae,0.034766,0.034766
Georgia(Republic of),Mexican Fruit Fly,Anastrepha ludens,0.000345,0.000345
Georgia(Republic of),Oriental Fruit Fly,Bactrocera dorsalis,1.07e-08,0.0
Georgia(Republic of),Peach Fruit Fly,Bactrocera zonata,5.9e-08,0.0
Georgia(Republic of),Queensland Fruit Fly,Bactrocera tryoni,0.034755,0.034755
Georgia(Republic of),Sapote Fruit Fly,Anastrepha serpentina,0.000346,0.000346
Georgia(Republic of),Zeugodacus Tau,Bactrocera tau,0.034755,0.034755
Germany,Caribbean Fruit Fly,Anastrepha suspensa,0.002122,0.002122
Germany,Guava Fruit Fly,Bactrocera correcta,1.79e-07,0.0
Germany,Mediterranean Fruit Fly,Ceratitis capitata,0.056451,0.056451
Germany,Melon Fruit Fly,Bactrocera cucurbitae,0.002398,0.002398
Germany,Mexican Fruit Fly,Anastrepha ludens,2e-05,0.0
